id;nome;data_cadastro;data_evento;hora_inicio;hora_termino;observacao
1;amidst incidentally geez;2024-09-08T20:13:23;2024-09-09T00:16:50;after why headphones;utterly yahoo altruistic;jubilant before
2;huzzah roll;2024-09-09T03:21:24;2024-09-08T17:21:00;proposal climb;birthday;often
3;happily ew;2024-09-09T02:15:55;2024-09-09T06:56:26;excluding although furiously;throng;whose
4;brr blah save;2024-09-09T03:21:10;2024-09-09T00:08:18;save;safely;stipulate terminal
5;gee phooey versus;2024-09-08T17:58:43;2024-09-09T07:32:06;oh disastrous;sleep fooey;aha deeply pound
6;till enraged;2024-09-08T16:39:48;2024-09-08T21:44:20;deign forenenst always;forceful zowie;voluntarily vice
7;billow by;2024-09-08T15:31:59;2024-09-09T02:13:57;frightfully;meaty;printing
8;delegate fulfill above;2024-09-09T10:39:08;2024-09-09T02:41:30;less;ha clumsy um;hmph
9;jubilantly yuck yowza;2024-09-08T13:03:37;2024-09-09T06:51:23;feisty notice;yahoo satisfied reimburse;mistake jell whole
10;jaded chromolithograph puzzling;2024-09-08T12:35:52;2024-09-09T02:37:58;brr;until treatment;lively ick
